%sparsity,runtime,baseline
0,0.190,0.326
1,0.189,0.325
2,0.189,0.324
3,0.186,0.321
4,0.187,0.327
5,0.184,0.330
6,0.185,0.327
7,0.183,0.328
8,0.183,0.326
9,0.185,0.326
10,0.181,0.327
11,0.180,0.325
12,0.180,0.326
13,0.181,0.327
14,0.181,0.326
15,0.178,0.330
16,0.174,0.325
17,0.177,0.327
18,0.175,0.327
19,0.174,0.326
20,0.174,0.326
21,0.173,0.324
22,0.170,0.326
23,0.171,0.327
24,0.170,0.325
25,0.169,0.327
26,0.170,0.326
27,0.171,0.328
28,0.167,0.326
29,0.168,0.327
30,0.166,0.327
31,0.165,0.326
32,0.168,0.326
33,0.164,0.327
34,0.161,0.327
35,0.161,0.326
36,0.160,0.326
37,0.161,0.326
38,0.161,0.327
39,0.159,0.326
40,0.159,0.326
41,0.156,0.328
42,0.159,0.327
43,0.157,0.324
44,0.155,0.325
45,0.154,0.333
46,0.154,0.326
47,0.152,0.327
48,0.152,0.327
49,0.152,0.326
50,0.151,0.326
51,0.150,0.326
52,0.150,0.330
53,0.147,0.327
54,0.150,0.334
55,0.148,0.328
56,0.149,0.327
57,0.145,0.321
58,0.143,0.327
59,0.147,0.327
60,0.144,0.329
61,0.145,0.326
62,0.145,0.326
63,0.139,0.324
64,0.143,0.326
65,0.140,0.327
66,0.142,0.328
67,0.139,0.327
68,0.140,0.327
69,0.138,0.326
70,0.153,0.325
71,0.134,0.324
72,0.136,0.326
73,0.135,0.326
74,0.134,0.327
75,0.133,0.324
76,0.135,0.325
77,0.133,0.328
78,0.133,0.321
79,0.133,0.323
80,0.138,0.326
81,0.133,0.327
82,0.132,0.326
83,0.128,0.326
84,0.129,0.321
85,0.127,0.330
86,0.125,0.328
87,0.127,0.329
88,0.125,0.326
89,0.128,0.321
90,0.125,0.324
91,0.126,0.327
92,0.127,0.326
93,0.125,0.325
94,0.125,0.326
95,0.124,0.321
96,0.122,0.325
97,0.121,0.324
98,0.126,0.325
99,0.122,0.325
100,0.118,0.327
